id_estudiante,t1,t2,t3,t4,t5,t6,r1,r2,r3,r4,r5,r6,p1,p2,p3,p4,p5,p6,op1,op2,op3,op4,op5,op6,score_a,score_p,score_d,score_s
269,23.26029534,25.30992403,65.6328663,45.538066,24.660178,36.690559,1,1,1,2,1,1,3,4,14,10,4,8,1,1,0,1,1,0,4,4,2,3
270,68.30709397,138.814388,114.6116974,103.477511,66.640175,53.038688,1,1,1,1,1,1,15,12,17,12,8,9,0,1,0,0,0,1,4,2,2,2
271,63.0517934,352.308488,311.9278086,115.2783037,45.548469,170.018973,1,7,6,3,1,8,1,31,12,3,1,14,1,1,0,1,0,0,5,5,2,3
272,67.11141933,61.909776,395.0377273,102.1134744,82.007485,74.124852,1,1,3,1,1,2,7,4,6,9,3,4,0,1,1,0,1,1,4,5,2,3
273,303.6667163,310.682349,754.726172,31.228207,53.107904,24.895931,3,3,6,1,1,1,20,67,208,10,9,8,0,0,0,1,0,1,3,4,1,2
274,74.13324203,190.668971,80.0500333,83.516613,42.567078,219.71686,1,3,1,2,1,5,1,9,10,6,4,22,1,1,1,1,0,0,4,5,2,3
275,305.2686646,66.2707847,62.937213,87.7721103,39.819055,43.536063,5,2,1,1,1,1,13,14,8,9,8,7,1,1,1,0,0,1,2,3,1,2
276,47.63347603,87.117042,204.7009066,98.633887,35.966807,36.68351,1,2,2,2,1,1,1,3,18,7,14,11,0,1,1,0,0,1,8,4,3,4
277,22.39833534,27.3481327,124.1326323,52.978929,55.0813844,39.551218,1,1,2,1,1,1,7,10,38,12,12,10,1,1,0,0,0,1,5,3,2,1
278,88.3467103,150.402807,339.484483,117.318743,95.506487,185.006511,1,1,2,2,1,2,5,7,10,5,4,6,0,0,0,0,0,0,4,3,0,0
279,47.21484467,68.4806754,87.2299146,129.411598,46.3981827,76.3136646,1,1,1,3,1,1,8,11,8,6,2,2,1,0,1,0,1,0,2,2,1,2
