rut,programa,hito1,hito2,hito3,hito4,exitosos,fallidos,ejercicios_hito1,ejercicios_hito2,ejercicios_hito3,ejercicios_hito4,sol1,sol2,sol3,sol4
618,INGENIERIA INDUSTRIAL,0,0,0,0,0,16,,,,,1.1,,,
619,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,1.2,,,
620,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,31,,,,,1.3,,,
621,INGENIERIA CIVIL INFORMATICA,1,0,0,0,1,30,:17,,,,1.4,,,
622,INGENIERIA EN COMPUTACION E INFORMATICA,2,0,0,0,2,29,:25:4,,,,1.5,,,
623,INGENIERIA INDUSTRIAL,4,4,0,0,6,41,:25:17:17:4,:6:44,,,1.5,,,
624,INGENIERIA CIVIL INDUSTRIAL,12,0,0,0,7,24,:25:17:4:29:23:0:22,,,,1.6,,,
625,INGENIERIA INDUSTRIAL,0,0,0,0,0,0,,,,,1.6,,,
626,INGENIERIA CIVIL INDUSTRIAL,26,0,0,0,14,17,:25:17:4:26:29:23:0:22:10:3:42:7:18:35,,,,1.6,,,
627,INGENIERIA CIVIL INDUSTRIAL,8,0,0,0,6,10,:25:17:4:26:29:10,,,,1.6,,,
628,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,16,,,,,1.6,,,
629,INGENIERIA CIVIL INDUSTRIAL,12,0,0,0,8,8,:25:17:4:26:29:0:22:10,,,,1.6,,,
630,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,47,,,,,1.6,,,
631,INGENIERIA EN COMPUTACION E INFORMATICA,10,6,0,0,9,38,:25:17:4:23:10:35,:6:1:44,,,1.6,,,
632,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,1.6,,,
633,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,1.6,,,
634,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,16,,,,,1.6,,,
635,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,31,,,,,1.6,,,
636,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,16,,,,,1.6,,,
637,INGENIERIA CIVIL INFORMATICA,32,0,0,0,16,15,:25:17:4:26:29:23:0:22:10:3:42:7:32:13:18:35,,,,1.6,,,
